sub_0
Epoch: [0/2000], classify_loss: 1.1219, domain_loss_s: 0.7253, domain_loss_t: 0.6852, domain_loss: 1.4105,total_loss: 2.5324, accurance: 0.3621
Epoch: [1/2000], classify_loss: 1.1181, domain_loss_s: 0.7249, domain_loss_t: 0.6849, domain_loss: 1.4098,total_loss: 2.5279, accurance: 0.3624
Epoch: [2/2000], classify_loss: 1.1144, domain_loss_s: 0.7246, domain_loss_t: 0.6845, domain_loss: 1.4091,total_loss: 2.5235, accurance: 0.3636
Epoch: [3/2000], classify_loss: 1.1107, domain_loss_s: 0.7242, domain_loss_t: 0.6841, domain_loss: 1.4084,total_loss: 2.5191, accurance: 0.3641
Epoch: [4/2000], classify_loss: 1.1071, domain_loss_s: 0.7239, domain_loss_t: 0.6838, domain_loss: 1.4077,total_loss: 2.5148, accurance: 0.3653
Epoch: [5/2000], classify_loss: 1.1036, domain_loss_s: 0.7236, domain_loss_t: 0.6835, domain_loss: 1.4070,total_loss: 2.5106, accurance: 0.3659
Epoch: [6/2000], classify_loss: 1.1001, domain_loss_s: 0.7232, domain_loss_t: 0.6831, domain_loss: 1.4064,total_loss: 2.5064, accurance: 0.3659
Epoch: [7/2000], classify_loss: 1.0966, domain_loss_s: 0.7229, domain_loss_t: 0.6828, domain_loss: 1.4057,total_loss: 2.5023, accurance: 0.3665
Epoch: [8/2000], classify_loss: 1.0931, domain_loss_s: 0.7226, domain_loss_t: 0.6825, domain_loss: 1.4051,total_loss: 2.4982, accurance: 0.3671
Epoch: [9/2000], classify_loss: 1.0897, domain_loss_s: 0.7223, domain_loss_t: 0.6822, domain_loss: 1.4045,total_loss: 2.4941, accurance: 0.3686
Epoch: [10/2000], classify_loss: 1.0863, domain_loss_s: 0.7220, domain_loss_t: 0.6819, domain_loss: 1.4039,total_loss: 2.4901, accurance: 0.3697
Epoch: [11/2000], classify_loss: 1.0829, domain_loss_s: 0.7216, domain_loss_t: 0.6816, domain_loss: 1.4032,total_loss: 2.4861, accurance: 0.3706
Epoch: [12/2000], classify_loss: 1.0795, domain_loss_s: 0.7213, domain_loss_t: 0.6814, domain_loss: 1.4027,total_loss: 2.4822, accurance: 0.3715
Epoch: [13/2000], classify_loss: 1.0763, domain_loss_s: 0.7210, domain_loss_t: 0.6811, domain_loss: 1.4021,total_loss: 2.4783, accurance: 0.3727
Epoch: [14/2000], classify_loss: 1.0730, domain_loss_s: 0.7206, domain_loss_t: 0.6809, domain_loss: 1.4015,total_loss: 2.4745, accurance: 0.3727
Epoch: [15/2000], classify_loss: 1.0698, domain_loss_s: 0.7203, domain_loss_t: 0.6806, domain_loss: 1.4009,total_loss: 2.4707, accurance: 0.3733
Epoch: [16/2000], classify_loss: 1.0666, domain_loss_s: 0.7199, domain_loss_t: 0.6804, domain_loss: 1.4003,total_loss: 2.4669, accurance: 0.3733
Epoch: [17/2000], classify_loss: 1.0634, domain_loss_s: 0.7196, domain_loss_t: 0.6802, domain_loss: 1.3997,total_loss: 2.4632, accurance: 0.3736
Epoch: [18/2000], classify_loss: 1.0603, domain_loss_s: 0.7192, domain_loss_t: 0.6799, domain_loss: 1.3992,total_loss: 2.4595, accurance: 0.3739
Epoch: [19/2000], classify_loss: 1.0572, domain_loss_s: 0.7189, domain_loss_t: 0.6797, domain_loss: 1.3986,total_loss: 2.4558, accurance: 0.3744
Epoch: [20/2000], classify_loss: 1.0542, domain_loss_s: 0.7185, domain_loss_t: 0.6795, domain_loss: 1.3980,total_loss: 2.4522, accurance: 0.3742
Epoch: [21/2000], classify_loss: 1.0512, domain_loss_s: 0.7181, domain_loss_t: 0.6793, domain_loss: 1.3974,total_loss: 2.4486, accurance: 0.3747
Epoch: [22/2000], classify_loss: 1.0482, domain_loss_s: 0.7178, domain_loss_t: 0.6791, domain_loss: 1.3969,total_loss: 2.4451, accurance: 0.3750
Epoch: [23/2000], classify_loss: 1.0453, domain_loss_s: 0.7174, domain_loss_t: 0.6789, domain_loss: 1.3963,total_loss: 2.4416, accurance: 0.3750
Epoch: [24/2000], classify_loss: 1.0424, domain_loss_s: 0.7171, domain_loss_t: 0.6787, domain_loss: 1.3958,total_loss: 2.4382, accurance: 0.3759
Epoch: [25/2000], classify_loss: 1.0396, domain_loss_s: 0.7167, domain_loss_t: 0.6785, domain_loss: 1.3952,total_loss: 2.4348, accurance: 0.3768
Epoch: [26/2000], classify_loss: 1.0368, domain_loss_s: 0.7163, domain_loss_t: 0.6783, domain_loss: 1.3947,total_loss: 2.4315, accurance: 0.3789
Epoch: [27/2000], classify_loss: 1.0340, domain_loss_s: 0.7160, domain_loss_t: 0.6782, domain_loss: 1.3941,total_loss: 2.4282, accurance: 0.3803
Epoch: [28/2000], classify_loss: 1.0313, domain_loss_s: 0.7156, domain_loss_t: 0.6780, domain_loss: 1.3936,total_loss: 2.4249, accurance: 0.3818
Epoch: [29/2000], classify_loss: 1.0287, domain_loss_s: 0.7152, domain_loss_t: 0.6778, domain_loss: 1.3931,total_loss: 2.4218, accurance: 0.3827
Epoch: [30/2000], classify_loss: 1.0261, domain_loss_s: 0.7149, domain_loss_t: 0.6777, domain_loss: 1.3926,total_loss: 2.4187, accurance: 0.3836
Epoch: [31/2000], classify_loss: 1.0235, domain_loss_s: 0.7145, domain_loss_t: 0.6775, domain_loss: 1.3920,total_loss: 2.4156, accurance: 0.3848
Epoch: [32/2000], classify_loss: 1.0210, domain_loss_s: 0.7142, domain_loss_t: 0.6773, domain_loss: 1.3915,total_loss: 2.4126, accurance: 0.3859
Epoch: [33/2000], classify_loss: 1.0186, domain_loss_s: 0.7138, domain_loss_t: 0.6772, domain_loss: 1.3910,total_loss: 2.4096, accurance: 0.3871
Epoch: [34/2000], classify_loss: 1.0162, domain_loss_s: 0.7135, domain_loss_t: 0.6770, domain_loss: 1.3905,total_loss: 2.4067, accurance: 0.3877
Epoch: [35/2000], classify_loss: 1.0138, domain_loss_s: 0.7131, domain_loss_t: 0.6769, domain_loss: 1.3900,total_loss: 2.4038, accurance: 0.3883
Epoch: [36/2000], classify_loss: 1.0115, domain_loss_s: 0.7128, domain_loss_t: 0.6768, domain_loss: 1.3895,total_loss: 2.4010, accurance: 0.3898
Epoch: [37/2000], classify_loss: 1.0092, domain_loss_s: 0.7124, domain_loss_t: 0.6766, domain_loss: 1.3890,total_loss: 2.3982, accurance: 0.3909
Epoch: [38/2000], classify_loss: 1.0070, domain_loss_s: 0.7121, domain_loss_t: 0.6765, domain_loss: 1.3886,total_loss: 2.3955, accurance: 0.3906
Epoch: [39/2000], classify_loss: 1.0048, domain_loss_s: 0.7117, domain_loss_t: 0.6764, domain_loss: 1.3881,total_loss: 2.3928, accurance: 0.3915
Epoch: [40/2000], classify_loss: 1.0026, domain_loss_s: 0.7114, domain_loss_t: 0.6762, domain_loss: 1.3876,total_loss: 2.3902, accurance: 0.3924
Epoch: [41/2000], classify_loss: 1.0004, domain_loss_s: 0.7110, domain_loss_t: 0.6761, domain_loss: 1.3871,total_loss: 2.3875, accurance: 0.3927
Epoch: [42/2000], classify_loss: 0.9983, domain_loss_s: 0.7106, domain_loss_t: 0.6760, domain_loss: 1.3866,total_loss: 2.3849, accurance: 0.3939
Epoch: [43/2000], classify_loss: 0.9962, domain_loss_s: 0.7103, domain_loss_t: 0.6759, domain_loss: 1.3862,total_loss: 2.3824, accurance: 0.3942
Epoch: [44/2000], classify_loss: 0.9942, domain_loss_s: 0.7099, domain_loss_t: 0.6758, domain_loss: 1.3857,total_loss: 2.3799, accurance: 0.3945
Epoch: [45/2000], classify_loss: 0.9921, domain_loss_s: 0.7096, domain_loss_t: 0.6757, domain_loss: 1.3853,total_loss: 2.3774, accurance: 0.3951
