sub_0
Epoch: [0/1000], classify_loss: 1.1282, domain_loss_s: 0.6033, domain_loss_t: 0.8048, domain_loss: 1.4082,total_loss: 2.5364, accurance: 0.2770
Epoch: [1/1000], classify_loss: 0.9772, domain_loss_s: 0.6014, domain_loss_t: 0.7742, domain_loss: 1.3756,total_loss: 2.3528, accurance: 0.4445
Epoch: [2/1000], classify_loss: 0.8840, domain_loss_s: 0.5997, domain_loss_t: 0.7515, domain_loss: 1.3511,total_loss: 2.2351, accurance: 0.5019
Epoch: [3/1000], classify_loss: 0.8069, domain_loss_s: 0.5974, domain_loss_t: 0.7285, domain_loss: 1.3259,total_loss: 2.1328, accurance: 0.5163
Epoch: [4/1000], classify_loss: 0.7506, domain_loss_s: 0.5975, domain_loss_t: 0.7078, domain_loss: 1.3053,total_loss: 2.0560, accurance: 0.5202
Epoch: [5/1000], classify_loss: 0.7055, domain_loss_s: 0.5970, domain_loss_t: 0.6920, domain_loss: 1.2891,total_loss: 1.9946, accurance: 0.5110
Epoch: [6/1000], classify_loss: 0.6676, domain_loss_s: 0.5958, domain_loss_t: 0.6810, domain_loss: 1.2768,total_loss: 1.9444, accurance: 0.5072
Epoch: [7/1000], classify_loss: 0.6320, domain_loss_s: 0.5918, domain_loss_t: 0.6739, domain_loss: 1.2657,total_loss: 1.8977, accurance: 0.5102
Epoch: [8/1000], classify_loss: 0.5983, domain_loss_s: 0.5861, domain_loss_t: 0.6688, domain_loss: 1.2549,total_loss: 1.8532, accurance: 0.5178
Epoch: [9/1000], classify_loss: 0.5672, domain_loss_s: 0.5795, domain_loss_t: 0.6642, domain_loss: 1.2437,total_loss: 1.8108, accurance: 0.5346
Epoch: [10/1000], classify_loss: 0.5361, domain_loss_s: 0.5738, domain_loss_t: 0.6602, domain_loss: 1.2340,total_loss: 1.7701, accurance: 0.5714
Epoch: [11/1000], classify_loss: 0.5077, domain_loss_s: 0.5687, domain_loss_t: 0.6577, domain_loss: 1.2264,total_loss: 1.7341, accurance: 0.5929
Epoch: [12/1000], classify_loss: 0.4819, domain_loss_s: 0.5633, domain_loss_t: 0.6548, domain_loss: 1.2181,total_loss: 1.7001, accurance: 0.6102
Epoch: [13/1000], classify_loss: 0.4574, domain_loss_s: 0.5580, domain_loss_t: 0.6541, domain_loss: 1.2121,total_loss: 1.6695, accurance: 0.6155
Epoch: [14/1000], classify_loss: 0.4335, domain_loss_s: 0.5543, domain_loss_t: 0.6556, domain_loss: 1.2099,total_loss: 1.6434, accurance: 0.6135
Epoch: [15/1000], classify_loss: 0.4099, domain_loss_s: 0.5527, domain_loss_t: 0.6550, domain_loss: 1.2076,total_loss: 1.6175, accurance: 0.6179
Epoch: [16/1000], classify_loss: 0.3864, domain_loss_s: 0.5521, domain_loss_t: 0.6552, domain_loss: 1.2073,total_loss: 1.5937, accurance: 0.6250
Epoch: [17/1000], classify_loss: 0.3651, domain_loss_s: 0.5528, domain_loss_t: 0.6556, domain_loss: 1.2084,total_loss: 1.5735, accurance: 0.6332
Epoch: [18/1000], classify_loss: 0.3460, domain_loss_s: 0.5553, domain_loss_t: 0.6581, domain_loss: 1.2134,total_loss: 1.5595, accurance: 0.6326
Epoch: [19/1000], classify_loss: 0.3292, domain_loss_s: 0.5595, domain_loss_t: 0.6628, domain_loss: 1.2223,total_loss: 1.5514, accurance: 0.6291
Epoch: [20/1000], classify_loss: 0.3140, domain_loss_s: 0.5651, domain_loss_t: 0.6695, domain_loss: 1.2346,total_loss: 1.5485, accurance: 0.6241
Epoch: [21/1000], classify_loss: 0.3004, domain_loss_s: 0.5721, domain_loss_t: 0.6784, domain_loss: 1.2504,total_loss: 1.5509, accurance: 0.6120
