sub_0
Epoch: [0/500], classify_loss: 1.1249, domain_loss_s: 0.6960, domain_loss_t: 0.7009, domain_loss: 1.3969,total_loss: 2.5218, accurance: 0.3518
Epoch: [1/500], classify_loss: 0.9708, domain_loss_s: 0.6891, domain_loss_t: 0.6849, domain_loss: 1.3740,total_loss: 2.3449, accurance: 0.3862
Epoch: [2/500], classify_loss: 0.8794, domain_loss_s: 0.6851, domain_loss_t: 0.6764, domain_loss: 1.3615,total_loss: 2.2408, accurance: 0.3992
Epoch: [3/500], classify_loss: 0.8136, domain_loss_s: 0.6821, domain_loss_t: 0.6691, domain_loss: 1.3512,total_loss: 2.1647, accurance: 0.4257
Epoch: [4/500], classify_loss: 0.7517, domain_loss_s: 0.6768, domain_loss_t: 0.6622, domain_loss: 1.3390,total_loss: 2.0907, accurance: 0.4745
Epoch: [5/500], classify_loss: 0.6999, domain_loss_s: 0.6706, domain_loss_t: 0.6558, domain_loss: 1.3264,total_loss: 2.0264, accurance: 0.4954
Epoch: [6/500], classify_loss: 0.6546, domain_loss_s: 0.6657, domain_loss_t: 0.6500, domain_loss: 1.3157,total_loss: 1.9704, accurance: 0.5258
Epoch: [7/500], classify_loss: 0.6156, domain_loss_s: 0.6610, domain_loss_t: 0.6440, domain_loss: 1.3050,total_loss: 1.9206, accurance: 0.5446
Epoch: [8/500], classify_loss: 0.5818, domain_loss_s: 0.6565, domain_loss_t: 0.6385, domain_loss: 1.2950,total_loss: 1.8767, accurance: 0.5596
Epoch: [9/500], classify_loss: 0.5510, domain_loss_s: 0.6522, domain_loss_t: 0.6340, domain_loss: 1.2862,total_loss: 1.8372, accurance: 0.5708
Epoch: [10/500], classify_loss: 0.5218, domain_loss_s: 0.6486, domain_loss_t: 0.6309, domain_loss: 1.2794,total_loss: 1.8013, accurance: 0.5764
Epoch: [11/500], classify_loss: 0.4948, domain_loss_s: 0.6447, domain_loss_t: 0.6291, domain_loss: 1.2738,total_loss: 1.7686, accurance: 0.5726
Epoch: [12/500], classify_loss: 0.4711, domain_loss_s: 0.6391, domain_loss_t: 0.6297, domain_loss: 1.2688,total_loss: 1.7398, accurance: 0.5846
Epoch: [13/500], classify_loss: 0.4493, domain_loss_s: 0.6315, domain_loss_t: 0.6333, domain_loss: 1.2649,total_loss: 1.7142, accurance: 0.6055
Epoch: [14/500], classify_loss: 0.4298, domain_loss_s: 0.6230, domain_loss_t: 0.6410, domain_loss: 1.2639,total_loss: 1.6937, accurance: 0.6150
Epoch: [15/500], classify_loss: 0.4128, domain_loss_s: 0.6146, domain_loss_t: 0.6520, domain_loss: 1.2666,total_loss: 1.6794, accurance: 0.6247
Epoch: [16/500], classify_loss: 0.3973, domain_loss_s: 0.6069, domain_loss_t: 0.6655, domain_loss: 1.2724,total_loss: 1.6698, accurance: 0.6247
Epoch: [17/500], classify_loss: 0.3829, domain_loss_s: 0.6003, domain_loss_t: 0.6819, domain_loss: 1.2823,total_loss: 1.6652, accurance: 0.6247
Epoch: [18/500], classify_loss: 0.3694, domain_loss_s: 0.5969, domain_loss_t: 0.7008, domain_loss: 1.2977,total_loss: 1.6672, accurance: 0.6203
Epoch: [19/500], classify_loss: 0.3572, domain_loss_s: 0.5966, domain_loss_t: 0.7207, domain_loss: 1.3173,total_loss: 1.6745, accurance: 0.6158
Epoch: [20/500], classify_loss: 0.3463, domain_loss_s: 0.5985, domain_loss_t: 0.7359, domain_loss: 1.3345,total_loss: 1.6808, accurance: 0.6094
Epoch: [21/500], classify_loss: 0.3362, domain_loss_s: 0.6026, domain_loss_t: 0.7457, domain_loss: 1.3484,total_loss: 1.6845, accurance: 0.6041
Epoch: [22/500], classify_loss: 0.3269, domain_loss_s: 0.6081, domain_loss_t: 0.7526, domain_loss: 1.3607,total_loss: 1.6877, accurance: 0.6082
Epoch: [23/500], classify_loss: 0.3185, domain_loss_s: 0.6152, domain_loss_t: 0.7553, domain_loss: 1.3705,total_loss: 1.6890, accurance: 0.6047
Epoch: [24/500], classify_loss: 0.3106, domain_loss_s: 0.6237, domain_loss_t: 0.7556, domain_loss: 1.3793,total_loss: 1.6898, accurance: 0.6008
Epoch: [25/500], classify_loss: 0.3032, domain_loss_s: 0.6338, domain_loss_t: 0.7529, domain_loss: 1.3867,total_loss: 1.6898, accurance: 0.6011
Epoch: [26/500], classify_loss: 0.2962, domain_loss_s: 0.6458, domain_loss_t: 0.7466, domain_loss: 1.3924,total_loss: 1.6885, accurance: 0.5787
Epoch: [27/500], classify_loss: 0.2889, domain_loss_s: 0.6607, domain_loss_t: 0.7383, domain_loss: 1.3990,total_loss: 1.6879, accurance: 0.5717
Epoch: [28/500], classify_loss: 0.2816, domain_loss_s: 0.6790, domain_loss_t: 0.7305, domain_loss: 1.4095,total_loss: 1.6911, accurance: 0.5646
Epoch: [29/500], classify_loss: 0.2747, domain_loss_s: 0.7009, domain_loss_t: 0.7227, domain_loss: 1.4236,total_loss: 1.6983, accurance: 0.5617
Epoch: [30/500], classify_loss: 0.2684, domain_loss_s: 0.7256, domain_loss_t: 0.7144, domain_loss: 1.4401,total_loss: 1.7084, accurance: 0.5628
Epoch: [31/500], classify_loss: 0.2621, domain_loss_s: 0.7518, domain_loss_t: 0.7050, domain_loss: 1.4568,total_loss: 1.7189, accurance: 0.5587
Epoch: [32/500], classify_loss: 0.2550, domain_loss_s: 0.7782, domain_loss_t: 0.6953, domain_loss: 1.4735,total_loss: 1.7285, accurance: 0.5514
Epoch: [33/500], classify_loss: 0.2475, domain_loss_s: 0.8046, domain_loss_t: 0.6842, domain_loss: 1.4888,total_loss: 1.7363, accurance: 0.5478
