sub_0
Epoch: [0/1000], classify_loss: 1.0856, domain_loss_s: 0.6606, domain_loss_t: 0.7653, domain_loss: 1.4259,total_loss: 2.5116, acc_loss: 0.3824
Epoch: [1/1000], classify_loss: 1.0821, domain_loss_s: 0.6607, domain_loss_t: 0.7644, domain_loss: 1.4251,total_loss: 2.5072, acc_loss: 0.3830
Epoch: [2/1000], classify_loss: 1.0787, domain_loss_s: 0.6608, domain_loss_t: 0.7634, domain_loss: 1.4242,total_loss: 2.5028, acc_loss: 0.3827
Epoch: [3/1000], classify_loss: 1.0752, domain_loss_s: 0.6609, domain_loss_t: 0.7624, domain_loss: 1.4233,total_loss: 2.4986, acc_loss: 0.3824
Epoch: [4/1000], classify_loss: 1.0719, domain_loss_s: 0.6610, domain_loss_t: 0.7615, domain_loss: 1.4225,total_loss: 2.4943, acc_loss: 0.3830
Epoch: [5/1000], classify_loss: 1.0685, domain_loss_s: 0.6611, domain_loss_t: 0.7605, domain_loss: 1.4216,total_loss: 2.4902, acc_loss: 0.3833
Epoch: [6/1000], classify_loss: 1.0652, domain_loss_s: 0.6612, domain_loss_t: 0.7596, domain_loss: 1.4208,total_loss: 2.4860, acc_loss: 0.3836
Epoch: [7/1000], classify_loss: 1.0619, domain_loss_s: 0.6613, domain_loss_t: 0.7587, domain_loss: 1.4200,total_loss: 2.4819, acc_loss: 0.3836
Epoch: [8/1000], classify_loss: 1.0587, domain_loss_s: 0.6614, domain_loss_t: 0.7578, domain_loss: 1.4192,total_loss: 2.4779, acc_loss: 0.3839
Epoch: [9/1000], classify_loss: 1.0554, domain_loss_s: 0.6615, domain_loss_t: 0.7569, domain_loss: 1.4184,total_loss: 2.4738, acc_loss: 0.3842
Epoch: [10/1000], classify_loss: 1.0522, domain_loss_s: 0.6615, domain_loss_t: 0.7561, domain_loss: 1.4176,total_loss: 2.4698, acc_loss: 0.3842
Epoch: [11/1000], classify_loss: 1.0491, domain_loss_s: 0.6616, domain_loss_t: 0.7553, domain_loss: 1.4168,total_loss: 2.4659, acc_loss: 0.3845
Epoch: [12/1000], classify_loss: 1.0459, domain_loss_s: 0.6616, domain_loss_t: 0.7545, domain_loss: 1.4161,total_loss: 2.4620, acc_loss: 0.3850
Epoch: [13/1000], classify_loss: 1.0428, domain_loss_s: 0.6617, domain_loss_t: 0.7537, domain_loss: 1.4154,total_loss: 2.4582, acc_loss: 0.3856
Epoch: [14/1000], classify_loss: 1.0398, domain_loss_s: 0.6618, domain_loss_t: 0.7529, domain_loss: 1.4147,total_loss: 2.4545, acc_loss: 0.3856
Epoch: [15/1000], classify_loss: 1.0368, domain_loss_s: 0.6619, domain_loss_t: 0.7521, domain_loss: 1.4140,total_loss: 2.4508, acc_loss: 0.3865
Epoch: [16/1000], classify_loss: 1.0339, domain_loss_s: 0.6619, domain_loss_t: 0.7514, domain_loss: 1.4133,total_loss: 2.4472, acc_loss: 0.3862
Epoch: [17/1000], classify_loss: 1.0310, domain_loss_s: 0.6620, domain_loss_t: 0.7507, domain_loss: 1.4127,total_loss: 2.4437, acc_loss: 0.3865
